iter	TotalF1	MultiClass
0	0.7985360883	0.9294172585
1	0.8083502533	0.7450853739
2	0.806908047	0.6467388736
3	0.818757002	0.5766702006
4	0.8194136304	0.529301239
5	0.8269567562	0.4915071766
6	0.8350598351	0.4689523347
7	0.8328366724	0.4555532962
8	0.8378890763	0.4357076762
9	0.8365453278	0.4268799582
10	0.8349538483	0.4198552662
11	0.8357961544	0.4117384488
12	0.8356811122	0.4104126786
13	0.8361583823	0.4052058556
14	0.8379912615	0.3942980208
15	0.8384215964	0.3902354588
16	0.8408010917	0.3833442934
17	0.8409456526	0.3761263839
18	0.8537837863	0.3695282795
19	0.8573864719	0.3588805331
20	0.8582326868	0.3572904412
21	0.8587799924	0.3559529254
22	0.8587105208	0.3557323707
23	0.8622288124	0.3523474757
24	0.862088954	0.3502682026
25	0.8634066106	0.3485286269
26	0.8644874025	0.346198376
27	0.8686573911	0.3446652129
28	0.8702139991	0.3409502549
29	0.8709292518	0.3393413686
30	0.8697507409	0.3374555351
31	0.8724667806	0.3362547097
32	0.8726727513	0.3351293307
33	0.873915919	0.3342541626
34	0.872933879	0.3333260085
35	0.874193157	0.3311332034
36	0.8743582671	0.3297106337
37	0.8743599433	0.3297086366
38	0.8743964629	0.32862016
39	0.8732006297	0.3273191557
40	0.8769254674	0.3247413603
41	0.8792102361	0.3210002643
42	0.8796794627	0.3189071977
43	0.8797224382	0.3184408281
44	0.8797092786	0.317729689
45	0.8792841723	0.3107690765
46	0.8797584797	0.3100200435
47	0.8800399244	0.3095046006
48	0.8820311154	0.3086479985
49	0.8823040283	0.3082766083
50	0.8842225577	0.3070887943
51	0.8859372301	0.3048329504
52	0.8879451174	0.3008226838
53	0.8885561081	0.2996708632
54	0.8894140029	0.2981886507
55	0.8893218701	0.2973339512
56	0.8894444719	0.2964949082
57	0.8914117197	0.2951909825
58	0.8924096219	0.2933088896
59	0.8922301009	0.2919027216
60	0.8922301009	0.2917205237
61	0.8950099211	0.2890989787
62	0.8960009342	0.2868077381
63	0.8966900065	0.2854875022
64	0.8971714563	0.2835287018
65	0.8973359024	0.2826368859
66	0.8983158967	0.2802864528
67	0.8991282478	0.2797187767
