iter	Passed	Remaining
0	36	65726
1	72	66366
2	101	61720
3	136	61987
4	169	61571
5	204	61969
6	238	61749
7	265	60250
8	298	60209
9	329	59658
10	354	58461
11	382	57705
12	406	56533
13	441	56984
14	471	56773
15	505	57093
16	537	57125
17	563	56524
18	596	56597
19	622	56093
20	652	55966
21	682	55863
22	709	55531
23	740	55514
24	767	55208
25	798	55169
26	833	55411
27	866	55570
28	897	55499
29	930	55626
30	965	55813
31	996	55797
32	1032	55999
33	1061	55849
34	1091	55769
35	1128	56000
36	1161	56055
37	1173	55110
38	1205	55158
39	1236	55120
40	1266	55030
41	1295	54933
42	1327	54963
43	1353	54739
44	1380	54541
45	1412	54551
46	1442	54508
47	1469	54343
48	1497	54211
49	1527	54178
50	1555	54035
51	1586	54018
52	1615	53935
53	1642	53818
54	1668	53646
55	1696	53541
56	1719	53286
57	1745	53120
58	1770	52936
59	1799	52881
60	1826	52748
61	1850	52562
62	1878	52488
63	1907	52423
64	1936	52365
65	1966	52361
66	1992	52216
67	2017	52066
68	2040	51872
69	2068	51808
70	2095	51706
71	2122	51614
72	2149	51532
73	2177	51453
74	2204	51386
75	2231	51291
76	2253	51094
77	2277	50951
78	2304	50869
79	2334	50858
80	2355	50647
81	2381	50571
82	2406	50455
83	2429	50291
84	2460	50318
85	2485	50193
86	2507	50025
87	2534	49967
88	2556	49817
89	2578	49641
90	2609	49657
91	2634	49559
92	2664	49563
93	2689	49477
94	2713	49364
95	2737	49237
96	2763	49174
97	2784	49014
98	2808	48899
99	2833	48819
100	2858	48742
101	2888	48728
102	2914	48661
103	2938	48574
104	2960	48434
105	2984	48351
106	3012	48320
107	3034	48182
108	3059	48116
109	3087	48075
110	3113	48025
111	3135	47895
112	3156	47764
113	3183	47720
114	3205	47609
115	3229	47528
116	3262	47573
117	3285	47469
118	3309	47391
119	3331	47279
120	3353	47175
121	3377	47097
122	3404	47056
123	3428	46978
124	3450	46875
125	3476	46827
126	3502	46769
127	3529	46736
128	3555	46693
129	3583	46669
130	3610	46639
131	3633	46552
132	3660	46510
133	3683	46427
134	3709	46382
135	3739	46380
136	3762	46301
137	3789	46268
138	3809	46157
139	3836	46114
140	3857	46013
141	3879	45920
142	3903	45864
143	3932	45857
144	3957	45801
145	3983	45754
146	4006	45679
147	4028	45590
148	4052	45533
149	4076	45469
150	4101	45410
151	4126	45361
152	4148	45284
153	4174	45240
154	4195	45147
155	4221	45106
156	4246	45064
157	4268	44984
158	4296	44964
159	4323	44940
160	4354	44953
161	4377	44879
162	4398	44799
163	4419	44707
164	4444	44658
165	4469	44609
166	4494	44573
167	4521	44545
168	4545	44484
169	4567	44414
170	4595	44398
171	4618	44333
172	4645	44303
173	4669	44257
174	4701	44272
175	4723	44200
176	4746	44138
177	4770	44090
178	4802	44112
179	4827	44068
180	4855	44051
181	4882	44023
182	4904	43955
183	4926	43886
184	4951	43839
185	4974	43783
186	4996	43710
187	5021	43669
188	5046	43632
189	5074	43610
190	5101	43590
191	5123	43522
192	5143	43440
193	5168	43398
194	5187	43310
195	5210	43254
196	5236	43223
197	5260	43176
198	5285	43136
199	5312	43112
200	5337	43071
201	5359	43010
202	5387	42994
203	5412	42951
204	5439	42934
205	5463	42889
206	5489	42856
207	5512	42804
208	5538	42768
209	5559	42703
210	5578	42622
211	5600	42560
212	5625	42521
213	5649	42474
214	5672	42422
215	5698	42393
216	5719	42333
217	5740	42267
218	5766	42232
219	5790	42193
220	5816	42161
221	5845	42156
222	5872	42132
223	5896	42090
224	5915	42016
225	5939	41967
226	5964	41933
227	5986	41877
228	6017	41888
229	6045	41873
230	6071	41844
231	6098	41820
232	6122	41783
233	6146	41739
234	6169	41692
235	6193	41646
236	6218	41611
237	6250	41629
238	6275	41591
239	6299	41552
240	6325	41519
241	6348	41472
242	6372	41434
243	6398	41407
